Encryption Algorithm Name,Reference,Note
3des-cbc,[RFC4253],Section 6.3
blowfish-cbc,[RFC4253],Section 6.3
twofish256-cbc,[RFC4253],Section 6.3
twofish-cbc,[RFC4253],Section 6.3
twofish192-cbc,[RFC4253],Section 6.3
twofish128-cbc,[RFC4253],Section 6.3
aes256-cbc,[RFC4253],Section 6.3
aes192-cbc,[RFC4253],Section 6.3
aes128-cbc,[RFC4253],Section 6.3
serpent256-cbc,[RFC4253],Section 6.3
serpent192-cbc,[RFC4253],Section 6.3
serpent128-cbc,[RFC4253],Section 6.3
arcfour,[RFC4253],Section 6.3
idea-cbc,[RFC4253],Section 6.3
cast128-cbc,[RFC4253],Section 6.3
none,[RFC4253],Section 6.3
des-cbc,[FIPS-46-3],"HISTORIC, See page 4"
arcfour128,[RFC4345][status-change-ssh-arcfour-to-historic],HISTORIC
arcfour256,[RFC4345][status-change-ssh-arcfour-to-historic],HISTORIC
aes128-ctr,[RFC4344],
aes192-ctr,[RFC4344],
aes256-ctr,[RFC4344],
3des-ctr,[RFC4344],
blowfish-ctr,[RFC4344],
twofish128-ctr,[RFC4344],
twofish192-ctr,[RFC4344],
twofish256-ctr,[RFC4344],
serpent128-ctr,[RFC4344],
serpent192-ctr,[RFC4344],
serpent256-ctr,[RFC4344],
idea-ctr,[RFC4344],
cast128-ctr,[RFC4344],
AEAD_AES_128_GCM,[RFC5647],Section 6.1
AEAD_AES_256_GCM,[RFC5647],Section 6.2
