"ID",Algorithm,Reference
0,Reserved,
1,RSA (Encrypt or Sign),"[Alfred Menezes, Paul van Oorschot, and Scott Vanstone,
""Handbook of Applied Cryptography,"" CRC Press, 1996.]"
2,RSA Encrypt-Only,
3,RSA Sign-Only,
4-15,Unassigned,[RFC4880]
16,Elgamal (Encrypt-Only),"[T. Elgamal, ""A Public-Key Cryptosystem and a
Signature Scheme Based on Discrete Logarithms,""
IEEE Transactions on Information Theory, v. IT-31,
n. 4, 1985, pp. 469-472.][Alfred Menezes, Paul van Oorschot, and Scott Vanstone,
""Handbook of Applied Cryptography,"" CRC Press, 1996.]"
17,DSA (Digital Signature Algorithm),"[FIPS 186-2change1][FIPS 186-3][Alfred Menezes, Paul van Oorschot, and Scott Vanstone,
""Handbook of Applied Cryptography,"" CRC Press, 1996.]"
18,ECDH public key algorithm,[RFC6637]
19,ECDSA public key algorithm,[RFC6637]
20,Reserved (formerly Elgamal Encrypt or Sign),
21,"Reserved for Diffie-Hellman (X9.42, as defined for IETF-S/MIME)",
22-99,Unassigned,
100-110,Private/Experimental algorithm,
111-255,Unassigned,
