Value,Certificate Encoding,Reference
0,Reserved,[RFC7296]
1,PKCS #7 wrapped X.509 certificate,[RFC7296]
2,PGP Certificate,[RFC7296]
3,DNS Signed Key,[RFC7296]
4,X.509 Certificate - Signature,[RFC7296]
5,Reserved,[RFC7296]
6,Kerberos Token,[RFC7296]
7,Certificate Revocation List (CRL),[RFC7296]
8,Authority Revocation List (ARL),[RFC7296]
9,SPKI Certificate,[RFC7296]
10,X.509 Certificate - Attribute,[RFC7296]
11,Raw RSA Key (DEPRECATED),[RFC7296]
12,Hash and URL of X.509 certificate,[RFC7296]
13,Hash and URL of X.509 bundle,[RFC7296]
14,OCSP Content,[RFC4806]
15,Raw Public Key,[RFC7670]
16-200,Unassigned,
201-255,Private use,[RFC7296]
