Value,Description,Reference
0,Reserved,[RFC7684]
1,"SID/Label Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
2,"Prefix SID Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
3,"SID/Label Binding Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
4,"IPv4 ERO Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
5,"Unnumbered Interface ID ERO Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
6,"IPv4 Backup ERO Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
7,"Unnumbered Interface ID Backup ERO Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
8,"ERO Metric Sub-TLV (TEMPORARY - registered 2015-10-22, extension registered 2017-06-23, expires 2018-10-22)",[draft-ietf-ospf-segment-routing-extensions]
9,"BIER Sub-TLV (TEMPORARY - registered 2017-06-29, expires 2018-06-29)",[draft-ietf-bier-ospf-bier-extensions]
10,"BIER MPLS Encapsulation Sub-TLV (TEMPORARY - registered 2017-06-29, expires 2018-06-29)",[draft-ietf-bier-ospf-bier-extensions]
11,"BIER Tree Type Sub-TLV (TEMPORARY - registered 2017-06-29, expires 2018-06-29)",[draft-ietf-bier-ospf-bier-extensions]
12-32767,Unassigned,
32768-33023,Reserved for Experimental Use,[RFC7684]
33024-65535,Reserved,[RFC7684]
