Address(s),Description,Reference,Date Registered,Last Reviewed
FF01:0:0:0:0:0:0:1,All Nodes Address,[RFC4291],,
FF01:0:0:0:0:0:0:2,All Routers Address,[RFC4291],,
FF01:0:0:0:0:0:0:C,variable scope allocation,,,
FF01:0:0:0:0:0:0:FB,mDNSv6,[RFC6762],2005-10-05,
FF01:0:0:0:0:0:0:FC-FF01:0:0:0:0:0:0:FD,variable scope allocation,,,
FF01:0:0:0:0:0:0:100-FF01:0:0:0:0:0:0:158,variable scope allocation,,,
FF01:0:0:0:0:0:0:160-FF01:0:0:0:0:0:0:16F,variable scope allocation,,,
FF01:0:0:0:0:0:0:175,variable scope allocation,,,
FF01:0:0:0:0:0:0:181-FF01:0:0:0:0:0:0:184,variable scope allocation,,,
FF01:0:0:0:0:0:0:18C,variable scope allocation,,,
FF01:0:0:0:0:0:0:201-FF01:0:0:0:0:0:0:202,variable scope allocation,,,
FF01:0:0:0:0:0:0:204-FF01:0:0:0:0:0:0:206,variable scope allocation,,,
FF01:0:0:0:0:0:0:2C0-FF01:0:0:0:0:0:0:2FF,variable scope allocation,,,
FF01:0:0:0:0:0:0:300,variable scope allocation,,,
FF01:0:0:0:0:0:0:3486,variable scope allocation,,,
FF01:0:0:0:0:0:0:BAC0,variable scope allocation,,,
FF01::1:1000/118,variable scope allocation,,,
FF01:0:0:0:0:0:2:0000-FF01:0:0:0:0:0:2:FFFF,variable scope allocation,,,
FF01::DB8:0:0/96,variable scope allocation,,,
