Value,Group Address Type Code,Reference
0,Reserved,[RFC6329]
1,SPB-Inst,[RFC6329]
2,SPB-I-OALG,[RFC6329]
3,SPBM-SI,[RFC6329]
4,SPBV-ADDR,[RFC6329]
5,Unassigned,
6,NICKNAME,[RFC7176]
7,TREES,[RFC7176]
8,TREE-RT-IDs,[RFC7176]
9,TREE-USE-IDs,[RFC7176]
10,INT-VLAN,[RFC7176]
11-12,Unassigned,
13,TRILL-VER,[RFC7176]
14,VLAN-GROUP,[RFC7176]
15,INT-LABEL,[RFC7176]
16,RBCHANNELS,[RFC7176]
17,AFFINITY,[RFC7176]
18,LABEL-GROUP,[RFC7176]
19-20,Unassigned,
21,Topology sub-TLV,[RFC-ietf-isis-pcr-05]
22,Hop sub-TLV,[RFC-ietf-isis-pcr-05]
23,Bandwidth Constraint sub-TLV,[RFC-ietf-isis-pcr-05]
24,Bandwidth Assignment sub-TLV,[RFC-ietf-isis-pcr-05]
25,Timestamp sub-TLV,[RFC-ietf-isis-pcr-05]
26-254,Unassigned,
255,Reserved,[RFC6329]
