Bits,Purpose,Reference
0-2,Critical Summary Bits,[RFC7179]
3-6,available critical hop-by-hop flags,[RFC7179]
7,Critical Channel Alert Flag,[RFC7179]
8,Non-critical Channel Alert Flag,[RFC7179]
9-11,available non-critical hop-by-hop flags,[RFC7179]
12-13,TRILL-ECN (Explicit Congestion Notification),[RFC-ietf-trill-ecn-support-07]
14-16,Extended Hop Count,[RFC7780]
17-20,available non-critical reserved flags,[RFC7179]
21-25,available critical ingress-to-egress flags,[RFC7179]
26,Critical Congestion Experienced (CCE),[RFC-ietf-trill-ecn-support-07]
27-28,Extended Color,[RFC7780]
29-31,available non-critical ingress-to-egress flags,[RFC7179][RFC7780]
