Number,Description,Mnemonic,ZoneSigning,Trans.Sec.,Reference
0,Delete DS,DELETE,N,N,[RFC4034][proposed standard][RFC4398][proposed standard][RFC8078][proposed standard]
1,"RSA/MD5 (deprecated, see 5)",RSAMD5,N,Y,[RFC3110][proposed standard][RFC4034][proposed standard]
2,Diffie-Hellman,DH,N,Y,[RFC2539][proposed standard]
3,DSA/SHA1,DSA,Y,Y,"[RFC3755][proposed standard][RFC2536][proposed standard][Federal Information Processing Standards Publication (FIPS PUB) 186,
Digital Signature Standard, 18 May 1994.][Federal Information Processing Standards Publication (FIPS PUB) 180-1,
Secure Hash Standard, 17 April 1995.
(Supersedes FIPS PUB 180 dated 11 May 1993.)]"
4,Reserved,,,,[RFC6725][proposed standard]
5,RSA/SHA-1,RSASHA1,Y,Y,[RFC3110][proposed standard][RFC4034][proposed standard]
6,DSA-NSEC3-SHA1,DSA-NSEC3-SHA1,Y,Y,[RFC5155][proposed standard]
7,RSASHA1-NSEC3-SHA1,RSASHA1-NSEC3-SHA1,Y,Y,[RFC5155][proposed standard]
8,RSA/SHA-256,RSASHA256,Y,*,[RFC5702][proposed standard]
9,Reserved,,,,[RFC6725][proposed standard]
10,RSA/SHA-512,RSASHA512,Y,*,[RFC5702][proposed standard]
11,Reserved,,,,[RFC6725][proposed standard]
12,GOST R 34.10-2001,ECC-GOST,Y,*,[RFC5933][proposed standard]
13,ECDSA Curve P-256 with SHA-256,ECDSAP256SHA256,Y,*,[RFC6605][proposed standard]
14,ECDSA Curve P-384 with SHA-384,ECDSAP384SHA384,Y,*,[RFC6605][proposed standard]
15,Ed25519,ED25519,Y,*,[RFC8080][proposed standard]
16,Ed448,ED448,Y,*,[RFC8080][proposed standard]
17-122,Unassigned,,,,
123-251,Reserved,,,,[RFC4034][proposed standard][RFC6014][proposed standard]
252,Reserved for Indirect Keys,INDIRECT,N,N,[RFC4034][proposed standard]
253,private algorithm,PRIVATEDNS,Y,Y,[RFC4034][proposed standard]
254,private algorithm OID,PRIVATEOID,Y,Y,[RFC4034][proposed standard]
255,Reserved,,,,[RFC4034][proposed standard]
