Property,Status,Reference
CALSCALE,Current,"[RFC5545], Section 3.7.1"
METHOD,Current,"[RFC5545], Section 3.7.2"
PRODID,Current,"[RFC5545], Section 3.7.3"
VERSION,Current,"[RFC5545], Section 3.7.4"
ATTACH,Current,"[RFC5545], Section 3.8.1.1"
CATEGORIES,Current,"[RFC5545], Section 3.8.1.2; [RFC7986], Section 5.6"
CLASS,Current,"[RFC5545], Section 3.8.1.3"
COMMENT,Current,"[RFC5545], Section 3.8.1.4"
DESCRIPTION,Current,"[RFC5545], Section 3.8.1.5; [RFC7986], Section 5.2"
GEO,Current,"[RFC5545], Section 3.8.1.6"
LOCATION,Current,"[RFC5545], Section 3.8.1.7"
PERCENT-COMPLETE,Current,"[RFC5545], Section 3.8.1.8"
PRIORITY,Current,"[RFC5545], Section 3.8.1.9"
RESOURCES,Current,"[RFC5545], Section 3.8.1.10"
STATUS,Current,"[RFC5545], Section 3.8.1.11"
SUMMARY,Current,"[RFC5545], Section 3.8.1.12"
COMPLETED,Current,"[RFC5545], Section 3.8.2.1"
DTEND,Current,"[RFC5545], Section 3.8.2.2"
DUE,Current,"[RFC5545], Section 3.8.2.3"
DTSTART,Current,"[RFC5545], Section 3.8.2.4"
DURATION,Current,"[RFC5545], Section 3.8.2.5"
FREEBUSY,Current,"[RFC5545], Section 3.8.2.6"
TRANSP,Current,"[RFC5545], Section 3.8.2.7"
TZID,Current,"[RFC5545], Section 3.8.3.1"
TZNAME,Current,"[RFC5545], Section 3.8.3.2"
TZOFFSETFROM,Current,"[RFC5545], Section 3.8.3.3"
TZOFFSETTO,Current,"[RFC5545], Section 3.8.3.4"
TZURL,Current,"[RFC5545], Section 3.8.3.5"
ATTENDEE,Current,"[RFC5545], Section 3.8.4.1"
CONTACT,Current,"[RFC5545], Section 3.8.4.2"
ORGANIZER,Current,"[RFC5545], Section 3.8.4.3"
RECURRENCE-ID,Current,"[RFC5545], Section 3.8.4.4"
RELATED-TO,Current,"[RFC5545], Section 3.8.4.5;
      [RFC9253], Section 9.1"
URL,Current,"[RFC5545], Section 3.8.4.6; [RFC7986], Section 5.5"
UID,Current,"[RFC5545], Section 3.8.4.7; [RFC7986], Section 5.3"
EXDATE,Current,"[RFC5545], Section 3.8.5.1"
EXRULE,Deprecated,"[RFC2445], Section 4.8.5.2"
RDATE,Current,"[RFC5545], Section 3.8.5.2"
RRULE,Current,"[RFC5545], Section 3.8.5.3"
ACTION,Current,"[RFC5545], Section 3.8.6.1"
REPEAT,Current,"[RFC5545], Section 3.8.6.2"
TRIGGER,Current,"[RFC5545], Section 3.8.6.3"
CREATED,Current,"[RFC5545], Section 3.8.7.1"
DTSTAMP,Current,"[RFC5545], Section 3.8.7.2"
LAST-MODIFIED,Current,"[RFC5545], Section 3.8.7.3; [RFC7986], Section 5.4"
SEQUENCE,Current,"[RFC5545], Section 3.8.7.4"
REQUEST-STATUS,Current,"[RFC5545], Section 3.8.8.3"
XML,Current,"[RFC6321], Section 4.2"
TZUNTIL,Current,"[RFC7808], Section 7.1"
TZID-ALIAS-OF,Current,"[RFC7808], Section 7.2"
BUSYTYPE,Current,"[RFC7953], Section 3.2"
NAME,Current,"[RFC7986], Section 5.1"
REFRESH-INTERVAL,Current,"[RFC7986], Section 5.7"
SOURCE,Current,"[RFC7986], Section 5.8"
COLOR,Current,"[RFC7986], Section 5.9"
IMAGE,Current,"[RFC7986], Section 5.10"
CONFERENCE,Current,"[RFC7986], Section 5.11"
CALENDAR-ADDRESS,Current,"[RFC9073], Section 6.4"
LOCATION-TYPE,Current,"[RFC9073], Section 6.1"
PARTICIPANT-TYPE,Current,"[RFC9073], Section 6.2"
RESOURCE-TYPE,Current,"[RFC9073], Section 6.3"
STRUCTURED-DATA,Current,"[RFC9073], Section 6.6"
STYLED-DESCRIPTION,Current,"[RFC9073], Section 6.5"
ACKNOWLEDGED,Current,"[RFC9074], Section 6.1"
PROXIMITY,Current,"[RFC9074], Section 8.1"
CONCEPT,Current,"[RFC9253], Section 8.1"
LINK,Current,"[RFC9253], Section 8.2"
REFID,Current,"[RFC9253], Section 8.3"
