Registered Parameter Identifier,Reference,IANA Registry Reference
xml,[RFC3688],[http://www.iana.org/assignments/xml-registry-index.html]
cpim-headers,[RFC3862],[http://www.iana.org/assignments/cpim-headers]
ecml,[RFC4112],[http://www.iana.org/assignments/ecml-parameters]
imdn,[RFC5438],[http://www.iana.org/assignments/imdn]
sieve,[RFC6134],[http://www.iana.org/assignments/sieve-extensions]
oauth,[RFC6755],[http://www.iana.org/assignments/oauth-parameters]
gss,[RFC7056],[http://www.iana.org/assignments/gss-api-parameters]
netconf,[RFC6241],[http://www.iana.org/assignments/netconf-capability-urns]
rtp-hdrext,[RFC8285],[http://www.iana.org/assignments/rtp-parameters#rtp-parameters-10]
geopriv,[RFC7035],[http://www.iana.org/assignments/geopriv-identifiers]
scim,[RFC7643],[http://www.iana.org/assignments/scim]
tzdist,[RFC7808],[http://www.iana.org/assignments/tzdist-identifiers]
abfab,[RFC7833],[http://www.iana.org/assignments/abfab-parameters]
push,[RFC8030],[http://www.iana.org/assignments/webpush-parameters]
restconf,[RFC8040],[http://www.iana.org/assignments/restconf-capability-urns]
mud,[RFC8520],[http://www.iana.org/assignments/mud]
rolie,[RFC8322],[http://www.iana.org/assignments/rolie]
acme,[RFC8555],[http://www.iana.org/assignments/acme]
