Protocol,Identification Sequence,Reference
Reserved,0x0A 0x0A,[RFC-ietf-tls-grease-04]
Reserved,0x1A 0x1A,[RFC-ietf-tls-grease-04]
Reserved,0x2A 0x2A,[RFC-ietf-tls-grease-04]
Reserved,0x3A 0x3A,[RFC-ietf-tls-grease-04]
Reserved,0x4A 0x4A,[RFC-ietf-tls-grease-04]
Reserved,0x5A 0x5A,[RFC-ietf-tls-grease-04]
Reserved,0x6A 0x6A,[RFC-ietf-tls-grease-04]
Reserved,0x7A 0x7A,[RFC-ietf-tls-grease-04]
Reserved,0x8A 0x8A,[RFC-ietf-tls-grease-04]
Reserved,0x9A 0x9A,[RFC-ietf-tls-grease-04]
Reserved,0xAA 0xAA,[RFC-ietf-tls-grease-04]
Reserved,0xBA 0xBA,[RFC-ietf-tls-grease-04]
Reserved,0xCA 0xCA,[RFC-ietf-tls-grease-04]
Reserved,0xDA 0xDA,[RFC-ietf-tls-grease-04]
Reserved,0xEA 0xEA,[RFC-ietf-tls-grease-04]
Reserved,0xFA 0xFA,[RFC-ietf-tls-grease-04]
HTTP/0.9,"0x68 0x74 0x74 0x70 0x2f 0x30 0x2e 0x39 (""http/0.9"")",[RFC1945]
HTTP/1.0,"0x68 0x74 0x74 0x70 0x2f 0x31 0x2e 0x30 (""http/1.0"")",[RFC1945]
HTTP/1.1,"0x68 0x74 0x74 0x70 0x2f 0x31 0x2e 0x31 (""http/1.1"")",[RFC7230]
SPDY/1,"0x73 0x70 0x64 0x79 0x2f 0x31 (""spdy/1"")",[http://dev.chromium.org/spdy/spdy-protocol/spdy-protocol-draft1]
SPDY/2,"0x73 0x70 0x64 0x79 0x2f 0x32 (""spdy/2"")",[http://dev.chromium.org/spdy/spdy-protocol/spdy-protocol-draft2]
SPDY/3,"0x73 0x70 0x64 0x79 0x2f 0x33 (""spdy/3"")",[http://dev.chromium.org/spdy/spdy-protocol/spdy-protocol-draft3]
Traversal Using Relays around NAT (TURN),"0x73 0x74 0x75 0x6E 0x2E 0x74 0x75 0x72 0x6E (""stun.turn"")",[RFC7443]
NAT discovery using Session Traversal Utilities for NAT (STUN),"0x73 0x74 0x75 0x6E 0x2E 0x6e 0x61 0x74 0x2d 0x64 0x69 0x73 0x63 0x6f 0x76 0x65 0x72 0x79 (""stun.nat-discovery"")",[RFC7443]
HTTP/2 over TLS,"0x68 0x32 (""h2"")",[RFC7540]
HTTP/2 over TCP,"0x68 0x32 0x63 (""h2c"")",[1][RFC7540]
WebRTC Media and Data,"0x77 0x65 0x62 0x72 0x74 0x63 (""webrtc"")",[RFC-ietf-rtcweb-alpn-04]
Confidential WebRTC Media and Data,"0x63 0x2d 0x77 0x65 0x62 0x72 0x74 0x63 (""c-webrtc"")",[RFC-ietf-rtcweb-alpn-04]
FTP,"0x66 0x74 0x70 (""ftp"")",[RFC959][RFC4217]
IMAP,"0x69 0x6d 0x61 0x70 (""imap"")",[RFC2595]
POP3,"0x70 0x6f 0x70 0x33 (""pop3"")",[RFC2595]
ManageSieve,"0x6d 0x61 0x6e 0x61 0x67 0x65 0x73 0x69 0x65 0x76 0x65 (""managesieve"")",[RFC5804]
CoAP,"0x63 0x6f 0x61 0x70 (""coap"")",[RFC8323]
XMPP jabber:client namespace,"0x78 0x6d 0x70 0x70 0x2d 0x63 0x6c 0x69 0x65 0x6e 0x74 (""xmpp-client"")",[https://xmpp.org/extensions/xep-0368.html]
XMPP jabber:server namespace,"0x78 0x6d 0x70 0x70 0x2d 0x73 0x65 0x72 0x76 0x65 0x72 (""xmpp-server"")",[https://xmpp.org/extensions/xep-0368.html]
acme-tls/1,"0x61 0x63 0x6d 0x65 0x2d 0x74 0x6c 0x73 0x2f 0x31 (""acme-tls/1"")",[RFC-ietf-acme-tls-alpn-07]
OASIS Message Queuing Telemetry Transport (MQTT),0x6d 0x71 0x74 0x74 (“mqtt”),[http://docs.oasis-open.org/mqtt/mqtt/v5.0/mqtt-v5.0.html]
DNS-over-TLS,"0x64 0x6F 0x74 (""dot"")",[RFC7858]
