Hex Value,Binary Value,Description,Reference
0x00,00,0,00000,Pad1,[RFC2460]
0x01,00,0,00001,PadN,[RFC2460]
0xC2,11,0,00010,Jumbo Payload,[RFC2675]
0x23,00,1,00011,RPL Option,[RFC9008]
0x63,01,1,00011,RPL Option (DEPRECATED),[RFC6553][RFC9008]
0x04,00,0,00100,Tunnel Encapsulation Limit,[RFC2473]
0x05,00,0,00101,Router Alert,[RFC2711]
0x26,00,1,00110,Quick-Start,[RFC4782][RFC Errata 2034]
0x07,00,0,00111,CALIPSO,[RFC5570]
0x08,00,0,01000,SMF_DPD,[RFC6621]
0xC9,11,0,01001,Home Address,[RFC6275]
0x8A,10,0,01010,Endpoint Identification (DEPRECATED),[[CHARLES LYNN]]
0x8B,10,0,01011,ILNP Nonce,[RFC6744]
0x8C,10,0,01100,Line-Identification Option,[RFC6788]
0x4D,01,0,01101,Deprecated,[RFC7731]
0x6D,01,1,01101,MPL Option,[RFC7731]
0xEE,11,1,01110,IP_DFF,[RFC6971]
0x0F,00,0,01111,Performance and Diagnostic Metrics (PDM),[RFC8250]
0x30,00,1,10000,Minimum Path MTU Hop-by-Hop Option,[RFC9268]
0x11,00,0,10001,"IOAM (TEMPORARY - registered 2020-04-16, extension registered 2022-04-12, document sent to IESG Evaluation 2022-10-31)",[draft-ietf-ippm-ioam-ipv6-options-05]
0x31,00,1,10001,"IOAM (TEMPORARY - registered 2020-04-16, extension registered 2022-04-12, document sent to IESG Evaluation 2022-10-31)",[draft-ietf-ippm-ioam-ipv6-options-05]
0x12,00,0,10010,AltMark,[RFC9343]
,,,10011-11101,Unassigned,
0x1E,00,0,11110,RFC3692-style Experiment [1],[RFC4727]
0x3E,00,1,11110,RFC3692-style Experiment [1],[RFC4727]
0x5E,01,0,11110,RFC3692-style Experiment [1],[RFC4727]
0x7E,01,1,11110,RFC3692-style Experiment [1],[RFC4727]
0x9E,10,0,11110,RFC3692-style Experiment [1],[RFC4727]
0xBE,10,1,11110,RFC3692-style Experiment [1],[RFC4727]
0xDE,11,0,11110,RFC3692-style Experiment [1],[RFC4727]
0xFE,11,1,11110,RFC3692-style Experiment [1],[RFC4727]
,,,11111,Unassigned,
