Protocol Number,Description,Reference
0,IPv6 Hop-by-Hop Option,[RFC2460]
43,Routing Header for IPv6,[RFC2460][RFC5095]
44,Fragment Header for IPv6,[RFC2460]
50,Encapsulating Security Payload,[RFC4303]
51,Authentication Header,[RFC4302]
60,Destination Options for IPv6,[RFC2460]
135,Mobility Header,[RFC6275]
139,Host Identity Protocol,[RFC7401]
140,Shim6 Protocol,[RFC5533]
253,Use for experimentation and testing,[RFC3692][RFC4727]
254,Use for experimentation and testing,[RFC3692][RFC4727]
