Value,Opaque Type,Reference
1,Traffic Engineering LSA,[RFC3630]
2,Sycamore Optical Topology Descriptions,[John_Moy]
3,grace-LSA,[RFC3623]
4,Router Information (RI),[RFC7770]
5,L1VPN LSA,[RFC5252]
6,Inter-AS-TE-v2 LSA,[RFC5392]
7,OSPFv2 Extended Prefix Opaque LSA,[RFC7684]
8,OSPFv2 Extended Link Opaque LSA,[RFC7684]
9,TTZ LSA,[RFC8099]
10,"OSPFv2 Dynamic Flooding Opaque LSA (TEMPORARY - registered 2019-07-31, extension registered 2021-06-18, expires 2022-07-31)",[draft-ietf-lsr-dynamic-flooding]
11-127,Unassigned,
128-255,Reserved for Private Use,[RFC5250]
