Type,Name,Reference
0x0000,Reserved,[RFC8609]
0x0001,T_INTLIFE,"[RFC8609, Section 3.4]"
0x0002,T_CACHETIME,"[RFC8609, Section 3.4]"
0x0003,T_MSGHASH,"[RFC8609, Section 3.4]"
0x0004-0x0007,Reserved,[RFC8609]
0x0008,T_DISC_REQHDR,[RFC-irtf-icnrg-ccninfo-15]
0x0009,T_DISC_REPORT,[RFC-irtf-icnrg-ccninfo-15]
0x000A-0x0FFD,Unassigned,
0x0FFE,T_PAD,"[RFC8609, Section 3.3.1]"
0x0FFF,T_ORG,"[RFC8609, Section 3.3.2]"
0x1000-0x1FFF,Reserved for Experimental Use,"[RFC8609, Section 3]"
0x2000-0xFFFF,Unassigned,
