Option Class,Description,Assignee,Contact,Reference
0x0000-0x00FF,Unassigned,,,
0x0100,Linux,[Linux-NetDev],[Linux-NetDev],
0x0101,Open vSwitch (OVS),[OVS],[OVS-Committers],
0x0102,Open Virtual Networking (OVN),[OVN],[OVN-Committers],[OVN-Arch]
0x0103,In-band Network Telemetry (INT),[ONF],[Timon_Sloane],[INT-Spec]
0x0104,"VMware, Inc.",[VMware],[Shekhar_Chandrashekhar],
0x0105,"Amazon.com, Inc.",[Amazon],[Dheerendra_Talur],
0x0106,"Cisco Systems, Inc.",[Cisco],[Vivek_Kansal],
0x0107,Oracle Corporation,[Oracle],[Leonid_Rozenboim],
0x0108-0x0110,"Amazon.com, Inc.",[Amazon],[Dheerendra_Talur],
0x0111-0x0118,IBM,[IBM],[Guy_Laden],
0x0119-0x0128,Ericsson,[Ericsson],[Julian_Espinosa_Santos],
0x0129-0xFEFF,Unassigned,,,
0xFF00-0xFFFF,Reserved for Experimental Use,,,[RFC8926]
