Namespace,Parameter,Reference
,LANGUAGE,"[RFC6350, Section 5.1]"
,VALUE,"[RFC6350, Section 5.2]"
,PREF,"[RFC6350, Section 5.3]"
,ALTID,"[RFC6350, Section 5.4]"
,PID,"[RFC6350, Section 5.5]"
,TYPE,"[RFC6350, Section 5.6]"
,MEDIATYPE,"[RFC6350, Section 5.7]"
,CALSCALE,"[RFC6350, Section 5.8]"
,SORT-AS,"[RFC6350, Section 5.9]"
,GEO,"[RFC6350, Section 5.10]"
,TZ,"[RFC6350, Section 5.11]"
,INDEX,"[RFC6715, Section 3.1]"
,LEVEL,"[RFC6715, Section 3.2]"
,GROUP,"[RFC7095, Section 8.1]"
,CC,"[RFC8605, Section 3.1]"
,AUTHOR,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.1]"
,AUTHOR-NAME,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.2]"
,CREATED,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.3]"
,DERIVED,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.4]"
,LABEL,"[RFC6350, Section 6.3.1][RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.5]"
,PHONETIC,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.6]"
,PROP-ID,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.7]"
,SCRIPT,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.8]"
,SERVICE-TYPE,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.9]"
,USERNAME,"[RFC-ietf-calext-vcard-jscontact-extensions-11, Section 4.10]"
,JSPTR,"[RFC-ietf-calext-jscontact-vcard-14, Section 3.3.2]"
