Type,Architecture Name,Reference
0x00 0x00,x86 BIOS,[RFC5970][RFC4578]
0x00 0x01,NEC/PC98 (DEPRECATED),[RFC5970][RFC4578]
0x00 0x02,Itanium,[RFC5970][RFC4578]
0x00 0x03,DEC Alpha (DEPRECATED),[RFC5970][RFC4578]
0x00 0x04,Arc x86 (DEPRECATED),[RFC5970][RFC4578]
0x00 0x05,Intel Lean Client (DEPRECATED),[RFC5970][RFC4578]
0x00 0x06,x86 UEFI,[RFC5970][RFC4578]
0x00 0x07,x64 UEFI,[RFC5970][RFC4578]
0x00 0x08,EFI Xscale (DEPRECATED),[RFC5970][RFC4578]
0x00 0x09,EBC,[RFC5970][RFC4578]
0x00 0x0a,ARM 32-bit UEFI,[RFC5970]
0x00 0x0b,ARM 64-bit UEFI,[RFC5970]
0x00 0x0c,PowerPC Open Firmware,[Thomas_Huth]
0x00 0x0d,PowerPC ePAPR,[Thomas_Huth]
0x00 0x0e,POWER OPAL v3,[Jeremy_Kerr]
0x00 0x0f,x86 uefi boot from http,[Samer_El-Haj-Mahmoud]
0x00 0x10,x64 uefi boot from http,[Samer_El-Haj-Mahmoud]
0x00 0x11,ebc boot from http,[Samer_El-Haj-Mahmoud]
0x00 0x12,arm uefi 32 boot from http,[Samer_El-Haj-Mahmoud]
0x00 0x13,arm uefi 64 boot from http,[Samer_El-Haj-Mahmoud]
0x00 0x14,pc/at bios boot from http,[Samer_El-Haj-Mahmoud]
0x00 0x15,arm 32 uboot,[Joseph_Shifflett]
0x00 0x16,arm 64 uboot,[Joseph_Shifflett]
0x00 0x17,arm uboot 32 boot from http,[Joseph_Shifflett]
0x00 0x18,arm uboot 64 boot from http,[Joseph_Shifflett]
0x00 0x19,RISC-V 32-bit UEFI,[Dong_Wei]
0x00 0x1a,RISC-V 32-bit UEFI boot from http,[Dong_Wei]
0x00 0x1b,RISC-V 64-bit UEFI,[Dong_Wei]
0x00 0x1c,RISC-V 64-bit UEFI boot from http,[Dong_Wei]
0x00 0x1d,RISC-V 128-bit UEFI,[Dong_Wei]
0x00 0x1e,RISC-V 128-bit UEFI boot from http,[Dong_Wei]
0x00 0x1f,s390 Basic,[Viktor_Mihajlovski]
0x00 0x20,s390 Extended,[Viktor_Mihajlovski]
0x00 0x21,MIPS 32-bit UEFI,[Jiading_Zhang]
0x00 0x22,MIPS 64-bit UEFI,[Jiading_Zhang]
0x00 0x23,Sunway 32-bit UEFI,[Jiading_Zhang]
0x00 0x24,Sunway 64-bit UEFI,[Jiading_Zhang]
0x00 0x25-0xff 0xff,Unassigned,
