Code,Name,Reference
0,Success,[RFC3315]
1,UnspecFail,[RFC3315]
2,NoAddrsAvail,[RFC3315]
3,NoBinding,[RFC3315]
4,NotOnLink,[RFC3315]
5,UseMulticast,[RFC3315]
6,NoPrefixAvail,[RFC3633]
7,UnknownQueryType,[RFC5007]
8,MalformedQuery,[RFC5007]
9,NotConfigured,[RFC5007]
10,NotAllowed,[RFC5007]
11,QueryTerminated,[RFC5460]
12,DataMissing,[RFC7653]
13,CatchUpComplete,[RFC7653]
14,NotSupported,[RFC7653]
15,TLSConnectionRefused,[RFC7653]
16,AddressInUse,[RFC8156]
17,ConfigurationConflict,[RFC8156]
18,MissingBindingInformation,[RFC8156]
19,OutdatedBindingInformation,[RFC8156]
20,ServerShuttingDown,[RFC8156]
21,DNSUpdateNotSupported,[RFC8156]
22,ExcessiveTimeSkew,[RFC8156]
23-255,Unassigned,
