Error-Type,Meaning,Error-value,Reference
0,Reserved,0-255: Reserved,[RFC5440]
1,PCEP session establishment failure,0: Unassigned,[RFC5440]
,,"1: reception of an invalid Open message or
        a non Open message.",[RFC5440]
,,2: no Open message received before the expiration of the OpenWait timer,[RFC5440]
,,3: unacceptable and non negotiable session characteristics,[RFC5440]
,,4: unacceptable but negotiable session characteristics,[RFC5440]
,,5: reception of a second Open message with still unacceptable session characteristics,[RFC5440]
,,6: reception of a PCErr message proposing unacceptable session characteristics,[RFC5440]
,,7: No Keepalive or PCErr message received before the expiration of the KeepWait timer,[RFC5440]
,,8: PCEP version not supported,[RFC5440]
,,9-255: Unassigned,
2,Capability not supported,0-255: Unassigned,[RFC5440]
3,Unknown Object,0: Unassigned,[RFC5440]
,,1: Unrecognized object class,[RFC5440]
,,2: Unrecognized object Type,[RFC5440]
,,3-255: Unassigned,
4,Not supported object,0: Unassigned,[RFC5440]
,,1: Not supported object class,[RFC5440]
,,2: Not supported object Type,[RFC5440]
,,3: Unassigned,
,,4: Unsupported parameter,[RFC5441]
,,5: Unsupported network performance constraint,[RFC8233]
,,6-255: Unassigned,
5,Policy violation,0: Unassigned,[RFC5440]
,,1: C bit of the METRIC object set (request rejected),[RFC5440]
,,2: O bit of the RP object cleared (request rejected),[RFC5440]
,,3: objective function not allowed (request rejected),[RFC5541]
,,4: OF bit of the RP object set (request rejected),[RFC5541]
,,5: Global concurrent optimization not allowed,[RFC5557]
,,6: Monitoring message supported but rejected due to policy violation,[RFC5886]
,,7: P2MP Path computation is not allowed,[RFC-ietf-pce-rfc6006bis-04]
,,8: Not allowed network performance constraint,[RFC8233]
,,9-255: Unassigned,
6,Mandatory Object missing,0: Unassigned,[RFC5440]
,,1: RP object missing,[RFC5440]
,,2: RRO missing for a reoptimization request (R bit of the RP object set),[RFC5440]
,,3: END-POINTS object missing,[RFC5440]
,,4: MONITORING object missing,[RFC5886]
,,5-7: Unassigned,
,,8: LSP object missing,[RFC8231]
,,9: ERO object missing,[RFC8231]
,,10: SRP object missing,[RFC8231]
,,11: LSP-IDENTIFIERS TLV missing,[RFC8231]
,,12: LSP-DB-VERSION TLV missing,[RFC8232]
,,13-255: Unassigned,
7,Synchronized path computation request missing,0-255: Unassigned,[RFC5440]
8,Unknown request reference,0-255: Unassigned,[RFC5440]
9,Attempt to establish a second PCEP session,0-255: Unassigned,[RFC5440]
10,Reception of an invalid object,0: Unassigned,[RFC5440]
,,1: reception of an object with P flag not set although the P-flag must be set according to this specification.,[RFC5440]
,,"2: Bad label value (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,"3: Unsupported number of Segment ERO subobjects (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,"4: Bad label format (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,"5: Non-identical ERO subobjects (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,"6: Both SID and NAI are absent in ERO subobject (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,"7: Both SID and NAI are absent in RRO subobject (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,8: SYMBOLIC-PATH-NAME TLV missing,[RFC-ietf-pce-pce-initiated-lsp-11]
,,"9: Default MSD is specified for the PCEP session (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,"10: Non-identical RRO subjects (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,"11: Malformed object (TEMPORARY - registered 2015-08-14, extension registered 2017-08-04, expires 2018-08-14)",[draft-ietf-pce-segment-routing]
,,12-255: Unassigned,
11,Unrecognized EXRS subobject,0-255: Unassigned,[RFC5521]
12,Diffserv-aware TE error,0: Unassigned,[RFC5455]
,,1: Unsupported class-type,[RFC5455]
,,2: Invalid class-type,[RFC5455]
,,3: Class-Type and setup priority do not form a configured TE-class,[RFC5455]
,,4-255: Unassigned,
13,BRPC procedure completion failure,0: Unassigned,[RFC5441]
,,1: BRPC procedure not supported by one or more PCEs along the domain path,[RFC5441]
,,2-255: Unassigned,
14,Unassigned,0-255: Unassigned,
15,Global Concurrent Optimization Error,0: Unassigned,[RFC5557]
,,1: Insufficient memory,[RFC5557]
,,2: Global concurrent optimization not supported,[RFC5557]
,,3-255: Unassigned,
16,P2MP Capability Error,0: Unassigned,[RFC-ietf-pce-rfc6006bis-04]
,,1: The PCE cannot satisfy the request due to insufficient memory,[RFC-ietf-pce-rfc6006bis-04]
,,2: The PCE is not capable of P2MP computation,[RFC-ietf-pce-rfc6006bis-04]
,,3-255: Unassigned,
17,P2MP END-POINTS Error,0: Unassigned,[RFC-ietf-pce-rfc6006bis-04]
,,1: The PCE cannot satisfy the request due to no END-POINTS with leaf type 2,[RFC-ietf-pce-rfc6006bis-04]
,,2: The PCE cannot satisfy the request due to no END-POINTS with leaf type 3,[RFC-ietf-pce-rfc6006bis-04]
,,3: The PCE cannot satisfy the request due to no END-POINTS with leaf type 4,[RFC-ietf-pce-rfc6006bis-04]
,,4: The PCE cannot satisfy the request due to inconsistent END-POINTS,[RFC-ietf-pce-rfc6006bis-04]
,,5-255: Unassigned,
