Value,Meaning,Reference
0x00,no tunnel information present,[RFC6514]
0x01,RSVP-TE P2MP LSP,[RFC6514]
0x02,mLDP P2MP LSP,[RFC6514]
0x03,PIM-SSM Tree,[RFC6514]
0x04,PIM-SM Tree,[RFC6514]
0x05,BIDIR-PIM Tree,[RFC6514]
0x06,Ingress Replication,[RFC6514]
0x07,mLDP MP2MP LSP,[RFC6514]
0x08,Transport Tunnel,[RFC7524]
0x09,Unassigned,
0x0A,"Assisted-Replication Tunnel (TEMPORARY - registered 2016-06-30, extension registered 2017-06-28, expires 2018-06-30)",[draft-ietf-bess-evpn-optimized-ir]
0x0B,"BIER (TEMPORARY - registered 2017-06-29, expires 2018-06-29)",[draft-ietf-bier-mvpn]
0x0C-0x7A,Unassigned,
0x7B-0x7E,Reserved for Experimental Use,[RFC-ietf-bess-evpn-etree-14]
0x7F,Reserved,[RFC-ietf-bess-evpn-etree-14]
0x80-0xFA,Reserved for Composite Tunnel,[RFC-ietf-bess-evpn-etree-14]
0xFB-0xFE,Reserved for Experimental Use,[RFC7385]
0xFF,Reserved,[RFC7385]
