Status Code,Meaning,Contact,Reference,Change Controller
1000,Normal Closure,[IESG_HYBI],[RFC6455],
1001,Going Away,[IESG_HYBI],[RFC6455],
1002,Protocol error,[IESG_HYBI],[RFC6455],
1003,Unsupported Data,[IESG_HYBI],[RFC6455],
1004,Reserved,[IESG_HYBI],[RFC6455],
1005,No Status Rcvd,[IESG_HYBI],[RFC6455],
1006,Abnormal Closure,[IESG_HYBI],[RFC6455],
1007,Invalid frame payload data,[IESG_HYBI],[RFC6455],
1008,Policy Violation,[IESG_HYBI],[RFC6455],
1009,Message Too Big,[IESG_HYBI],[RFC6455],
1010,Mandatory Ext.,[IESG_HYBI],[RFC6455],
1011,Internal Error,[IESG_HYBI],[RFC6455][RFC Errata 3227],
1012,Service Restart,[Alexey_Melnikov],[http://www.ietf.org/mail-archive/web/hybi/current/msg09670.html],
1013,Try Again Later,[Alexey_Melnikov],[http://www.ietf.org/mail-archive/web/hybi/current/msg09670.html],
1014,"The server was acting as a gateway or proxy and received an
        invalid response from the upstream server. This is similar to 502 HTTP
        Status Code.",[Alexey_Melnikov],[https://www.ietf.org/mail-archive/web/hybi/current/msg10748.html],
1015,TLS handshake,[IESG_HYBI],[RFC6455],
1016-3999,Unassigned,,,
4000-4999,Reserved for Private Use,,[RFC6455],
