Value,Description,Reference
0x0348,HOST_ID,[RFC7974]
0x0A0D,Autonomous System Compensation,[draft-donnerhacke-linktax]
0x0CA0,TCP Capability Option,[draft-boucadair-tcpm-capability-option]
0x0ED0,Extended Data Offset,[draft-ietf-tcpm-tcp-edo]
0x454E,TCP-ENO [2],[RFC-ietf-tcpinc-tcpeno-19]
0x5323,Service Number,[draft-touch-tcpm-sno]
0x75ECFFEE,Timestamp Interval,[draft-trammell-tcpm-timestamp-interval]
0xACCE,AccECN Experimental Option,[draft-kuehlewind-tcpm-accurate-ecn]
0xE2D4C3D9,Shared Memory communications over RMDA protocol,[RFC7609]
0xF989,Fast Open (current and new implementations SHOULD use option 34),[RFC7413]
0xF990,Low Latency,[draft-wang-tcpm-low-latency-opt]
